art_movement,author_id,bio_url,birth_year,death_year,first_name,last_name,nationality,num_works
Rococo,3644,http://www.the-athenaeum.org/people/detail.php?ID=3644,1732,1806.0,Jean-Honoré,Fragonard,French,171
,95,http://www.the-athenaeum.org/people/detail.php?ID=95,1800,1856.0,Johan Laurentz,Jensen,Danish,171
,6902,http://www.the-athenaeum.org/people/detail.php?ID=6902,1840,1912.0,Jose Maria,Velasco,Mexican,170
,1868,http://www.the-athenaeum.org/people/detail.php?ID=1868,1859,1945.0,Hans,Zatzka,Austrian,170
,2393,http://www.the-athenaeum.org/people/detail.php?ID=2393,1835,1910.0,William,Mctaggart,Scottish,169
,525,http://www.the-athenaeum.org/people/detail.php?ID=525,1738,1815.0,John Singleton,Copley,American,169
Academist,22,http://www.the-athenaeum.org/people/detail.php?ID=22,1802,1873.0,Edwin Henry,Landseer,English,168
,2890,http://www.the-athenaeum.org/people/detail.php?ID=2890,1758,1810.0,John,Hoppner,English,168
Renaissance,3550,http://www.the-athenaeum.org/people/detail.php?ID=3550,1430,1516.0,Giovanni,Bellini,Italian,168
Peredvizhniki,2403,http://www.the-athenaeum.org/people/detail.php?ID=2403,1832,1898.0,Ivan Ivanovich,Shishkin,Russian,167
,2502,http://www.the-athenaeum.org/people/detail.php?ID=2502,1873,1940.0,Joaquin Mir,Trinxet,Spanish,167
Impressionist,3372,http://www.the-athenaeum.org/people/detail.php?ID=3372,1882,1931.0,Joseph,Kleitsch,American,166
,1871,http://www.the-athenaeum.org/people/detail.php?ID=1871,1821,1909.0,Henriette,Ronner-knip,Dutch,166
,513,http://www.the-athenaeum.org/people/detail.php?ID=513,1875,1943.0,Richard Edward,Miller,American,165
,392,http://www.the-athenaeum.org/people/detail.php?ID=392,1861,1918.0,Maxime,Maufra,French,164
Veduta,1345,http://www.the-athenaeum.org/people/detail.php?ID=1345,1697,1768.0,,Canaletto,Italian,164
,1360,http://www.the-athenaeum.org/people/detail.php?ID=1360,1849,1936.0,Jean-Georges,Beraud,French,164
Symbolist,172,http://www.the-athenaeum.org/people/detail.php?ID=172,1862,1918.0,Gustav,Klimt,Austrian,164
Romantic,375,http://www.the-athenaeum.org/people/detail.php?ID=375,1801,1848.0,Thomas,Cole,English,164
Post-Impressionist,385,http://www.the-athenaeum.org/people/detail.php?ID=385,1856,1910.0,Henri-Edmond,Cross,French,163
,7037,http://www.the-athenaeum.org/people/detail.php?ID=7037,1753,1839.0,William,Beechey,English,162
,2475,http://www.the-athenaeum.org/people/detail.php?ID=2475,1815,1885.0,Richard,Ansdell,English,162
,238,http://www.the-athenaeum.org/people/detail.php?ID=238,1836,1893.0,John Atkinson,Grimshaw,English,162
Renaissance,3498,http://www.the-athenaeum.org/people/detail.php?ID=3498,1472,1553.0,Lucas,Cranach the elder,German,162
,4313,http://www.the-athenaeum.org/people/detail.php?ID=4313,1869,1938.0,Sergei Arsenevich,Vinogradov,Russian,161
,2501,http://www.the-athenaeum.org/people/detail.php?ID=2501,1870,1937.0,Jose Mongrell,Torrent,Spanish,161
Post-Impressionist,4670,http://www.the-athenaeum.org/people/detail.php?ID=4670,1887,1914.0,James Dickson,Innes,United Kingdom,161
Old Lyme Colony,546,http://www.the-athenaeum.org/people/detail.php?ID=546,1852,1919.0,Julian Alden,Weir,American,161
Classicist,3999,http://www.the-athenaeum.org/people/detail.php?ID=3999,1619,1690.0,Charles,Le brun,French,161
,555,http://www.the-athenaeum.org/people/detail.php?ID=555,1853,1921.0,J. Francis,Murphy,American,161
Classicist,7139,http://www.the-athenaeum.org/people/detail.php?ID=7139,1578,1660.0,Francesco,Albani,Italian,160
,7463,http://www.the-athenaeum.org/people/detail.php?ID=7463,1882,1943.0,Aristarkh,Lentulov,Russian,159
Romantic,1862,http://www.the-athenaeum.org/people/detail.php?ID=1862,1791,1881.0,Francesco Paolo,Hayez,Italian,159
Skagen,192,http://www.the-athenaeum.org/people/detail.php?ID=192,1847,1906.0,Fritz,Thaulow,Norwegian,159
,1900,http://www.the-athenaeum.org/people/detail.php?ID=1900,1859,1937.0,Henry Ossawa,Tanner,American,159
Romantic,1959,http://www.the-athenaeum.org/people/detail.php?ID=1959,1748,1825.0,Jacques-Louis,David,French,159
